Name;M;V_all;V_concrete;rho_concrete;V_steel;rho_steel;S_surface;S_all;S_holes;thickness;x;y;z
PCSS SB #1;14600.0;;0.00E+00;3000;0.00E+00;7930;0.00E+00;;;5.00E-03;2.04E+01;-8.83E-02;1.01E+00
PCSS SB #2;1800.0;;0.00E+00;3000;0.00E+00;7930;0.00E+00;;;5.00E-03;2.14E+01;-1.07E-01;6.09E-01
PCSS SB #3;13100.0;;0.00E+00;3000;0.00E+00;7930;0.00E+00;;;5.00E-03;2.27E+01;-1.09E-01;9.06E-01
PCSS SB #4;6000.0;;0.00E+00;3000;0.00E+00;7930;0.00E+00;;;5.00E-03;2.44E+01;-1.50E-01;4.68E-01
PCSS SB #5;8000.0;;0.00E+00;3000;0.00E+00;7930;0.00E+00;;;5.00E-03;2.34E+01;7.48E-01;8.50E-01
PCSS SB #6;1200.0;;0.00E+00;3000;0.00E+00;7930;0.00E+00;;;5.00E-03;2.32E+01;-8.53E-01;7.75E-01
PCSS SB #7;2500.0;;0.00E+00;3000;0.00E+00;7930;0.00E+00;;;5.00E-03;1.84E+01;-4.69E-01;-2.71E-01
PCSS SB #8;1500.0;;0.00E+00;3000;0.00E+00;7930;0.00E+00;;;5.00E-03;1.88E+01;-1.18E-01;7.01E-01
PCSS SB #9;2500.0;;0.00E+00;3000;0.00E+00;7930;0.00E+00;;;5.00E-03;1.83E+01;-4.75E-01;1.70E+00
PCSS SB #10;6000.0;;0.00E+00;3000;0.00E+00;7930;0.00E+00;;;5.00E-03;1.93E+01;5.76E-01;-2.08E-01
PCSS SB #11;2000.0;;0.00E+00;3000;0.00E+00;7930;0.00E+00;;;5.00E-03;1.87E+01;6.24E-01;6.41E-01
PCSS SB #12;1500.0;;0.00E+00;3000;0.00E+00;7930;0.00E+00;;;5.00E-03;2.07E+01;7.59E-01;6.42E-01
PCSS SB #13;5000.0;;0.00E+00;3000;0.00E+00;7930;0.00E+00;;;5.00E-03;1.88E+01;4.61E-01;1.49E+00
PCSS SB #14;500.0;;0.00E+00;3000;0.00E+00;7930;0.00E+00;;;5.00E-03;2.03E+01;7.28E-01;1.44E+00
PCSS SB #15;443.8;1.57E-01;1.48E-01;3000;8.88E-03;7930;1.78E+00;1.78E+00;;5.00E-03;1.93E+01;-3.83E-01;1.70E+00
